,Condition,Freeze,KeepTrain,Performance
137,Normal,Freeze,0,0.4835000038146973
138,Grow,No Freeze,0,0.4797999858856201
139,NoGrow,No Freeze,0,0.4745000004768372
140,Normal,No Freeze,0,0.5023000240325928
141,Grow,Freeze,0,0.45829999446868896
142,NoGrow,Freeze,0,0.4571000039577484
143,Normal,Freeze,0,0.5047000050544739
144,Grow,No Freeze,0,0.4850000143051148
145,NoGrow,No Freeze,0,0.4979000091552734
146,Normal,No Freeze,0,0.4896999895572662
147,Grow,Freeze,0,0.4515999853610992
148,NoGrow,Freeze,0,0.4517999887466431
149,Normal,Freeze,0,0.5055999755859375
150,Grow,No Freeze,0,0.4846000075340271
151,NoGrow,No Freeze,0,0.4923000037670136
152,Normal,No Freeze,0,0.4959999918937683
153,Grow,Freeze,0,0.4510999917984009
154,NoGrow,Freeze,0,0.4343000054359436
155,Normal,Freeze,0,0.5062000155448914
156,Grow,No Freeze,0,0.4510000050067902
157,NoGrow,No Freeze,0,0.4763999879360199
158,Normal,No Freeze,0,0.5174000263214111
159,Grow,Freeze,0,0.4560999870300293
160,NoGrow,Freeze,0,0.4616999924182892
161,Normal,Freeze,0,0.4869000017642975
162,Grow,No Freeze,0,0.4869000017642975
163,NoGrow,No Freeze,0,0.4708999991416931
164,Normal,No Freeze,0,0.5109000205993652
165,Grow,Freeze,0,0.43950000405311584
166,NoGrow,Freeze,0,0.4546000063419342
167,Normal,Freeze,0,0.5080000162124634
168,Grow,No Freeze,0,0.4639999866485596
169,NoGrow,No Freeze,0,0.4876999855041504
170,Normal,No Freeze,0,0.499099999666214
171,Grow,Freeze,0,0.4541000127792358
172,NoGrow,Freeze,0,0.454800009727478
173,Normal,Freeze,0,0.4961999952793121
174,Grow,No Freeze,0,0.4779999852180481
175,NoGrow,No Freeze,0,0.49380001425743103
176,Normal,No Freeze,0,0.5042999982833862
177,Grow,Freeze,0,0.451200008392334
178,NoGrow,Freeze,0,0.4449999928474426
179,Normal,Freeze,0,0.5056999921798706
180,Grow,No Freeze,0,0.5058000087738037
181,NoGrow,No Freeze,0,0.4905999898910522
182,Normal,No Freeze,0,0.4950000047683716
183,Grow,Freeze,0,0.4611999988555908
184,NoGrow,Freeze,0,0.44600000977516174
185,Normal,Freeze,0,0.5044999718666077
186,Grow,No Freeze,0,0.4903999865055084
187,NoGrow,No Freeze,0,0.4846000075340271
188,Normal,No Freeze,0,0.5083000063896179
189,Grow,Freeze,0,0.4456999897956848
190,NoGrow,Freeze,0,0.426800012588501
191,Normal,Freeze,0,0.4961999952793121
192,Grow,No Freeze,0,0.4828999936580658
193,NoGrow,No Freeze,0,0.4968000054359436
194,Normal,No Freeze,0,0.4991999864578247
195,Grow,Freeze,0,0.4526000022888184
196,NoGrow,Freeze,0,0.4189999997615814
197,Normal,Freeze,0,0.5016000270843506
198,Grow,No Freeze,0,0.4887000024318695
199,NoGrow,No Freeze,0,0.48539999127388
200,Normal,No Freeze,0,0.5012999773025513
201,Grow,Freeze,0,0.45210000872612
202,NoGrow,Freeze,0,0.4487000107765198
203,Normal,Freeze,0,0.5112000107765198
204,Grow,No Freeze,0,0.4810999929904938
205,NoGrow,No Freeze,0,0.47920000553131104
206,Normal,No Freeze,0,0.5055000185966492
207,Grow,Freeze,0,0.4514000117778778
208,NoGrow,Freeze,0,0.4736000001430512
209,Normal,Freeze,0,0.4873999953269959
210,Grow,No Freeze,0,0.4724000096321106
211,NoGrow,No Freeze,0,0.4912999868392944
212,Normal,No Freeze,0,0.5116000175476074
213,Grow,Freeze,0,0.4318999946117401
214,NoGrow,Freeze,0,0.4386000037193297
215,Normal,Freeze,0,0.5109000205993652
216,Grow,No Freeze,0,0.4997999966144562
217,NoGrow,No Freeze,0,0.5006999969482422
218,Normal,No Freeze,0,0.5051000118255615
219,Grow,Freeze,0,0.4462000131607056
220,NoGrow,Freeze,0,0.453000009059906
221,Normal,Freeze,0,0.4968999922275543
222,Grow,No Freeze,0,0.4691999852657318
223,NoGrow,No Freeze,0,0.4711999893188477
224,Normal,No Freeze,0,0.5077000260353088
225,Grow,Freeze,0,0.4535000026226044
